City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
51,Thompson,CA,55.7435,-97.8558,30.36,51,75,13.8,2023-04-19 19:37:56
52,Hammerfest,NO,70.6634,23.6821,41.45,93,75,27.63,2023-04-19 19:37:58
53,Dabakala,CI,8.3667,-4.4333,77.31,70,49,2.35,2023-04-19 19:37:59
54,Kodinar,IN,20.7903,70.7031,81.05,55,17,11.61,2023-04-19 19:38:00
55,Jamestown,US,42.097,-79.2353,56.52,56,0,5.99,2023-04-19 19:38:02
56,Minas De Marcona,PE,-15.2119,-75.1103,70.18,58,4,13.96,2023-04-19 19:38:03
57,Verkhnevilyuysk,RU,63.4453,120.3167,4.28,99,89,3.58,2023-04-19 19:38:04
58,Port Mathurin,MU,-19.6833,63.4167,78.85,77,23,19.13,2023-04-19 19:38:06
59,Iqaluit,CA,63.7506,-68.5145,15.53,92,100,0.0,2023-04-19 19:38:07
60,Palembang,ID,-2.9167,104.7458,80.69,94,40,0.0,2023-04-19 19:38:08
61,Georgetown,MY,5.4112,100.3354,84.15,77,20,3.44,2023-04-19 19:35:30
62,Grytviken,GS,-54.2811,-36.5092,37.99,95,100,4.14,2023-04-19 19:38:11
63,Coquimbo,CL,-29.9533,-71.3436,65.93,68,0,14.97,2023-04-19 19:38:12
64,Longyearbyen,SJ,78.2186,15.6401,19.24,63,20,14.97,2023-04-19 19:38:13
65,Queenstown,ZA,-31.8976,26.8753,63.59,27,6,7.38,2023-04-19 19:38:14
66,Prado,BR,-17.3411,-39.2208,81.5,86,25,14.47,2023-04-19 19:38:15
67,College,US,64.8569,-147.8028,31.89,51,40,6.91,2023-04-19 19:38:17
68,Bilibino,RU,68.0546,166.4372,23.5,87,100,2.46,2023-04-19 19:38:18
69,Ankang,CN,32.68,109.0172,70.99,75,53,3.83,2023-04-19 19:38:19
70,Crane,US,31.3974,-102.3501,88.45,9,0,15.77,2023-04-19 19:38:21
71,Atafu Village,TK,-8.5421,-172.5159,82.85,72,100,7.18,2023-04-19 19:38:22
72,Bethel,US,41.3712,-73.414,57.88,49,75,12.66,2023-04-19 19:35:48
73,Ben Gardane,TN,33.1378,11.2197,70.68,51,22,11.21,2023-04-19 19:38:24
74,Beyneu,KZ,45.3167,55.2,51.82,34,99,16.11,2023-04-19 19:38:26
75,Balamban,PH,10.4667,123.7833,77.45,84,13,2.19,2023-04-19 19:38:27
76,Gizo,SB,-8.103,156.8419,80.71,67,22,3.74,2023-04-19 19:38:28
77,Bamboo Flat,IN,11.7,92.7167,80.92,83,23,7.56,2023-04-19 19:38:29
78,Ushuaia,AR,-54.8,-68.3,49.62,81,75,27.63,2023-04-19 19:35:22
79,Tazovsky,RU,67.4667,78.7,11.84,98,99,4.52,2023-04-19 19:38:32
80,Yantzaza,EC,-3.8278,-78.7594,86.02,49,87,3.36,2023-04-19 19:38:33
81,Vorgashor,RU,67.5833,63.95,19.0,97,100,7.81,2023-04-19 19:38:34
82,Whitehorse,CA,60.7161,-135.0538,42.03,64,75,0.0,2023-04-19 19:38:36
83,Port Lincoln,AU,-34.7333,135.8667,58.68,67,100,5.79,2023-04-19 19:38:37
84,Papatowai,NZ,-46.5619,169.4708,48.83,94,92,5.7,2023-04-19 19:38:38
85,Alesund,NO,62.4723,6.1549,52.9,86,0,12.66,2023-04-19 19:38:39
86,Usogorsk,RU,63.4106,48.6872,31.23,91,100,4.83,2023-04-19 19:38:40
87,Albany,US,42.6001,-73.9662,45.95,64,90,1.01,2023-04-19 19:38:35
88,Konarka,IN,19.9,86.1167,84.6,81,0,17.4,2023-04-19 19:38:43
89,Pisco,PE,-13.7,-76.2167,77.05,69,0,17.27,2023-04-19 19:38:44
90,Carnarvon,AU,-24.8667,113.6333,74.28,43,74,13.67,2023-04-19 19:38:45
91,Zouerate,MR,22.7187,-12.4521,79.75,25,0,9.84,2023-04-19 19:38:46
92,Codrington,AU,-38.2667,141.9667,52.14,83,100,8.39,2023-04-19 19:38:48
93,Isiolo,KE,0.3546,37.5822,68.86,79,37,7.09,2023-04-19 19:38:49
94,Stanley,GB,54.868,-1.6985,44.28,92,75,6.91,2023-04-19 19:33:55
95,Porto Novo,BJ,6.4965,2.6036,82.22,76,74,5.37,2023-04-19 19:38:52
96,Cill Airne,IE,52.05,-9.5167,48.4,91,90,5.3,2023-04-19 19:38:53
97,Port Saint John'S,ZA,-31.6229,29.5448,72.0,30,0,5.82,2023-04-19 19:39:54
98,Badger,US,64.8,-147.5333,31.8,49,40,6.91,2023-04-19 19:39:55
99,Mount Pearl,CA,47.5166,-52.7813,36.95,88,100,12.66,2023-04-19 19:39:56
100,Calgary,CA,51.0501,-114.0853,48.33,62,100,8.05,2023-04-19 19:36:48
101,Krivosheino,RU,57.3431,83.9261,19.53,97,96,5.06,2023-04-19 19:39:59
102,Port Elizabeth,ZA,-33.918,25.5701,70.32,76,0,6.91,2023-04-19 19:40:00
103,Enewetak,MH,11.3474,162.3373,79.39,82,100,23.51,2023-04-19 19:40:01
104,Isetskoye,RU,56.4858,65.3226,32.2,57,9,5.77,2023-04-19 19:40:03
105,Anadyr,RU,64.75,177.4833,25.3,85,40,8.95,2023-04-19 19:40:04
106,Barcelos,PT,41.5388,-8.6151,64.92,91,76,1.61,2023-04-19 19:40:06
107,Hithadhoo,MV,-0.6,73.0833,83.59,70,100,3.51,2023-04-19 19:40:07
108,Yemetsk,RU,63.4721,41.7941,33.37,96,100,4.43,2023-04-19 19:40:09
109,Inhambane,MZ,-23.865,35.3833,69.78,94,20,3.44,2023-04-19 19:40:10
110,Carbonear,CA,47.7332,-53.2148,39.15,81,100,11.99,2023-04-19 19:40:11
111,Bhayavadar,IN,21.85,70.25,81.59,50,54,9.19,2023-04-19 19:40:12
112,Kaspiyskiy,RU,45.3929,47.3707,53.82,61,33,15.55,2023-04-19 19:40:13
113,Ust-Nera,RU,64.5667,143.2,6.82,99,100,7.49,2023-04-19 19:40:15
114,Selfoss,IS,63.9331,-20.9971,49.17,89,76,10.8,2023-04-19 19:40:16
115,Udachny,RU,66.4167,112.4,0.27,100,100,3.56,2023-04-19 19:40:18
116,Nemuro,JP,43.3236,145.575,38.35,93,92,7.02,2023-04-19 19:40:19
117,Dunedin,NZ,-45.8742,170.5036,54.81,95,23,1.99,2023-04-19 19:40:20
118,Petropavlovsk-Kamchatsky,RU,53.0452,158.6483,34.39,75,75,8.95,2023-04-19 19:40:21
119,Wynyard,AU,-41.0,145.7167,51.84,94,100,4.38,2023-04-19 19:40:23
120,Acapulco De Juarez,MX,16.8634,-99.8901,87.62,62,0,3.44,2023-04-19 19:35:31
121,Vila Velha,BR,-20.3297,-40.2925,93.15,74,20,8.01,2023-04-19 19:40:25
122,Inirida,CO,3.8653,-67.9239,89.42,51,96,4.34,2023-04-19 19:40:26
